"last_name, first_name","pitcher","ff_avg_spin","si_avg_spin","fc_avg_spin","sl_avg_spin","ch_avg_spin","cu_avg_spin","fs_avg_spin","kn_avg_spin","st_avg_spin","sv_avg_spin"
"García, Luis","472610","2059","2046",,"2358",,,"1019",,,
"Jansen, Kenley","445276",,"2386","2611","2395",,,,,,
"Colomé, Alex","517008","2121",,"2116",,"2146",,,,,
"Soria, Joakim","465657","2245",,,"2643","1413","2644",,,,
"Herrera, Kelvin","516969","2283","2208",,"2490","1811",,,,,
"Oberg, Scott","623184","2245","2188",,"2581","1931","2695",,,,
"Sims, Lucas","608371","2367","2261",,"2450","1762","2830",,,,
"Strickland, Hunter","519326","2440","2359",,"2728","1875",,,,,
"Miller, Andrew","453192","2066","2022",,"2622",,,,,,
"Middleton, Keynan","641871","2444",,,"2406","2043",,,,,
"Bowman, Matt","621199","2048","2021",,"2332",,,"1154",,,
"Cecil, Brett","446399","2040","1925","2129",,"1408","2219",,,,
"Johnson, Jim","462382","2244","2196",,,"1610","2189",,,,
"Lawrence, Casey","596271","2177","2112",,"2366","1723","2317",,,,
"McAllister, Zach","502083","2199","2173","2237",,,"2310",,,,
"Smith, Chris","434672","2044","2025",,,"1631","1940",,,,
"Mariñez, Jhan","501697","2110","1971",,"2183","1958",,,,,
"Phelps, David","475479","2348","2259","2421",,"2045","2586",,,,
"Ross, Tyson","475115","2547","2439",,"2658","1890",,,,,
"Despaigne, Odrisamer","628333","2106","2106","2602",,"1511","2781",,,,
"Yates, Kirby","489446","2336","2288",,"2228",,,"1274",,,
"Tazawa, Junichi","547749","2268",,,"2817",,"2657",,,,
"Grimm, Justin","518748","2192","2175",,"2442",,"2205",,,,
"Rodney, Fernando","407845","2109","2042",,"2269","1787",,,,,
"Gregerson, Luke","502381","2434","2384",,"2667","2032",,,,,
"Albers, Matt","458006","2093","2035",,"2306","1724","2256",,,,
"Giles, Ken","571704","2456",,,"2410","2476",,,,,
"Robles, Hansel","570663","2451","2447",,"2414","1683",,,,,
"Freeman, Sam","518693","2151","2030",,,,"2634","1330",,,
"Vincent, Nick","543883","2397","2299","2495","2331","1822","3027",,,,
"Wilson, Alex","543935","2266","2153",,"2516","1990","2485",,,,
"Bush, Matt","456713","2562","2458","2630","2515","2160","2513",,,,
"McGee, Jake","459429","2248","2226",,"2068",,,,,,
"Neshek, Pat","450212",,"2062",,"2207","1275",,,,,
"Cole, A.J.","595918","2112","2079",,"2155","1669","2209",,,,
"Infante, Gregory","500872","2127",,,"2727","1552","2813",,,,
"Warren, Adam","476589","2212","2193","2036","2294","1746","2152",,,,
"Blackburn, Paul","621112","2167","2110",,"2486","1716","2839",,,,
"Belisle, Matt","279571","2060","2033",,"2072","1514","2499",,,,
"Osuna, Roberto","532077","2426","2398","2439","2443","1923",,,,,
"Ellington, Brian","623395","2488","2520",,,"2229","2663",,,,
"Dyson, Sam","473879","2370","2288","2613","3117","1948",,,,,
"Moore, Andrew","621058","2209",,,"2019","1953","1964",,,,
"Pazos, James","572021",,"2041",,"2068",,,,,,
"Butler, Eddie","572750","2097","2028","2189",,"1693","2529",,,,
"Blevins, Jerry","460283","2164","2136",,,"1886","2375",,,,
"Flexen, Chris","623167","2125","2003","2388",,"1272","2607",,,,
"Hughes, Jared","453172","2130","2090",,"2211","2262",,,,,
"Storen, Drew","519322","2377","2100",,"2582","1895","2419",,,,
"Hughes, Phil","461833","2125","2105","2156",,"1349","2353",,,,
"Coulombe, Danny","543056","2296","2182",,"2343","2236","2610",,,,
"Romo, Sergio","489265","2292","2139",,"2898","1964",,,,,
"Morgan, Adam","605388","2428","2457",,"2674","1791","2799",,,,
"Moylan, Peter","493247",,"2105",,"2417","1664",,,,,
"Lyons, Tyler","544928","2125","2044",,"2409","1642","2288",,,,
"Farmer, Buck","571656","2227","2172",,"2550","1893","2352",,,,
"Feliz, Michael","593140","2297",,,"2192","2097",,,,,
"Goody, Nick","580792","2213",,,"2330",,,,,,
"Bleier, Richard","542947","1889","1870","1877","1909","1574",,,,,
"García, Jarlín","606424","2097","2088",,"2330","2277",,,,,
"Fields, Josh","451661","2234",,,,"1566","2036",,,,
"Pressly, Ryan","519151","2509","2373",,"2641",,"3104",,,,
"Farquhar, Danny","543144","2377","2412",,,"1853","2641",,,,
"Rosenthal, Trevor","572096","2476","2521",,"2319","1520",,,,,
"Holland, Greg","518813","2296",,,"2172",,"2404",,,,
"Dunn, Mike","445197","2310","2174",,"2468",,"2389",,,,
"Chafin, Andrew","605177","2132","2121",,"2291","1851",,,,,
"Chapman, Aroldis","547973","2494",,,"2399","1988",,,,,
"Hunter, Tommy","488984","2462","2460","2506",,,"2755",,,,
"Rogers, Taylor","573124","2088","2060",,,"1813","2824",,,,
"Milone, Tommy","543548","2273","2085","2237","2394","1648","2617",,,,
"Leclerc, José","600917","2628","2425","2609","2436","2103","2615",,,,
"Benoit, Joaquín","276542","2249","2225",,"2396","1421","1498",,,,
"Madson, Ryan","425492","2254","2119",,"2220","1895","2430",,,,
"Shreve, Chasen","592741","2533",,,"2437",,,"1300",,,
"Hoyt, James","624586","2119","2098",,"2446","1253",,,,,
"Feliz, Neftalí","491703","2428",,,"2506","1771",,,,,
"Otero, Dan","519096","2090","1993",,"1976","1298",,,,,
"Nicolino, Justin","592593","2014",,"2035",,"1562","2371",,,,
"Vizcaíno, Arodys","527055","2363","2340",,"2419","2206",,,,,
"Anderson, Brett","474463","1983","1823",,"2321","1587","2305",,,,
"De La Rosa, Jorge","407822","1901","1940","2030",,,"2650","1400",,,
"Krol, Ian","571871","2385","2317",,"2312","1649","2395",,,,
"McFarland, T.J.","519008","2316","2048",,"2311","1725",,,,,
"Avilán, Luis","501593","2181","2183",,,"2272","2437",,,,
"Whitley, Chase","595032","2221","2226",,"2314","1511","2323",,,,
"Hoover, J.J.","543331","2394","2358",,"2499","2227","2628",,,,
"Minaya, Juan","573668","2325","2330","2289","2260","1787","2320",,,,
"Thompson, Jake","622097","2130","2053",,"2469","1416",,,,,
"Smith, Joe","501925","2098","2000",,"2317","1689",,,,,
"Gee, Dillon","518716","2304","2335","2451",,"1814","2533",,,,
"Bergman, Christian","548357",,"2065",,"2118","1853","2367",,,,
"Hernandez, David","456696","2359","2267","2289",,,"2300",,,,
"Grilli, Jason","276351","2361","2266",,"2674","2094",,,,,
"Doolittle, Sean","448281","2219",,,"2352",,"2277","2095",,,
"Jackson, Luke","592426","2116","1992",,"2125","2117","2293",,,,
"Hader, Josh","623352",,"2076",,"2571","1458",,,,,
"Díaz, Miguel","622766","2306","2253",,"2482","1852",,,,,
"Abad, Fernando","472551","2206","2168",,,"1743","2450",,,,
"Brebbia, John","605154","2293","2222",,"2538","1981","2580",,,,
"Blanton, Joe","430599","2151","2176",,"2352","1806","2480",,,,
"López, Reynaldo","625643","2114","2076",,"2023","1516","2215",,,,
"Altavilla, Dan","656186","2393","2348",,"2753",,,,,,
"Bedrosian, Cam","592135","2326",,,"2647",,,,,,
"Osich, Josh","592612","2312","2306","2222","2178","1724",,,,,
"Alvarez, Jose","501625","2344","2270","2344","2339","1894","2428",,,,
"Bolsinger, Mike","502211","2109",,"2118","2492","1573","2399",,,,
"Wittgren, Nick","621295","2166","2122",,"2331","1894",,,,,
"Grace, Matt","594840","1713","1741",,"1939","1596",,,,,
"Karns, Nate","501992","2390","2335",,,"1572","2303",,,,
"Bettis, Chad","518452","1903","1856","2038",,"1512","2195",,,,
"Dull, Ryan","623430","2405",,,"2516","1328",,,,,
"Cishek, Steve","518553","2289","2288",,"2353","1890",,,,,
"Cingrani, Tony","571561","2246",,,"2136","1163",,,,,
"Albers, Andrew","452027","2088","1978",,"2252","1249","2247",,,,
"Woodruff, Brandon","605540","2098",,,"2148","1671",,,,,
"Pagán, Emilio","641941","2389","2404","2425",,"2038",,,,,
"McCarthy, Kevin","641838","2183","2149",,"2303","1986",,,,,
"Maton, Phil","664208","2494",,,,"1878","2822",,,,
"Hart, Donnie","643354",,"1922",,"2416","1969",,,,,
"Gonzales, Marco","594835","2205",,,,"2182","2392",,,,
"Giolito, Lucas","608337","2123","2019",,"2132","1654","2538",,,,
"Steckenrider, Drew","608716","2365","2330",,,"1638","1931",,,,
"Ziegler, Brad","446899",,"1880",,,"2006","2065",,,,
"Boyer, Blaine","430641","2361","2339",,"2432",,"2400",,,,
"Siegrist, Kevin","543779","2062","2106",,,"2048","2170",,,,
"Uehara, Koji","493157","2367","2336",,"2168",,,"1710",,,
"Harris, Will","501789","2493",,"2448",,,"2749",,,,
"Weaver, Jered","450308","2176","2042",,"2451","1861","2490",,,,
"Sipp, Tony","448609","2142","2097",,"2051",,,"1033",,,
"Holder, Jonathan","656547","2339","2148",,"2432","1792","2879",,,,
"Bonilla, Lisalverto","570810","2081","2029",,,"1553","2052",,,,
"Mengden, Daniel","596043","2093","2122",,"2129","1757","2374",,,,
"Strahm, Matt","621381","2329",,"2562",,"2165","2833",,,,
"Motte, Jason","435400","2295","2281","2095",,"2245",,,,,
"Ramírez, Neil","519166","2366","2345",,"2276","2105","2293",,,,
"Stumpf, Daniel","621385","2461","2397",,"2259","1794",,,,,
"Brault, Steven","643230","2089","1914",,"2179","1955","2159",,,,
"Zych, Tony","543964","2056","2024",,"2533",,"2195",,,,
"Law, Derek","571882","2162","2174",,"2113","1902","2014",,,,
"Turner, Jacob","545363","2087","2121",,"2020","1995","2052",,,,
"Hildenberger, Trevor","657610","2051","1980",,"2312","1392",,,,,
"Cessa, Luis","570666","2236","2212",,"2461","1729","2468",,,,
"Montas, Frankie","593423","2377","2337",,"2680","2065",,,,,
"Kela, Keone","605309","2254",,,,"1754","2360",,,,
"Sanchez, Aaron","592717","2317","2300",,,"2071","2869",,,,
"Edgin, Josh","572831","2143","2097",,"2162","1887","2264",,,,
"Workman, Brandon","519443","1982",,"2059",,,"2491",,,,
"Peña, Félix","570240","2168",,,"2677","1764",,,,,
"Crick, Kyle","605195","2381","2269","2347","2981","1815",,,,,
"Pérez, Oliver","424144","2179","2099",,"2110",,,,,,
"Tuivailala, Sam","592815","2313","2206",,"2083",,"2423",,,,
"Morrow, Brandon","453344","2357",,"2390","2329",,,,,,
"Castro, Simon","501563","2293","2230",,"2098",,,,,,
"Ynoa, Michael","573589","2218","2221",,"2283","1980","2506",,,,
"Breslow, Craig","444520","2057","1923",,,"1666","2421",,,,
"Scott, Robby","582494","2158","2121",,"2305","1753","2298",,,,
"Hardy, Blaine","543278","2172","2207","2470",,"2010","1774",,,,
"Stewart, Brock","592779","2485","2444",,"2281","1833",,,,,
"Smith, Josh A.","595001","2293","2250","2483","2495","1898","2666",,,,
"Pinto, Ricardo","620982","2026","1990",,"2020","1708",,,,,
"Estévez, Carlos","608032","2287","2278",,"2376","1728",,,,,
"Locke, Jeff","502046","2098","1988",,,"1362","1618",,,,
"Boshers, Buddy","542953",,"1960",,,"1453","2388",,,,
"Britton, Zack","502154","2157","2096",,"2641",,,,,,
"Wisler, Matt","605538","2076","2145",,"2596","2143","2664",,,,
"O'Grady, Chris","622217","2056","2016","2269",,"1574","2386",,,,
"Suárez, Albert","544150","2277","2280",,"2157","2254","2390",,,,
"Milner, Hoby","571948","2011","1997",,,"1667","1895",,,,
"Ynoa, Gabriel","593679","2072","2080","2084","2251","2148","2221",,,,
"Díaz, Jumbo","471822","2257","2201",,"2357",,,,,,
"Young, Chris","432934","2349",,,"2276","2281",,,,,
"Mitchell, Bryan","571951","2266","2261","2403",,,"2725",,,,
"VerHagen, Drew","572403","2194","2165",,"2268","2095","2351",,,,
"Paulino, David","600944","2140",,,"2524","1730","3023",,,,
"Davis, Rookie","606959","2031","1925","2192","2218","1798","2291",,,,
"Peters, Dillon","596071","2226","2119",,,"1450","2695",,,,
"Shackelford, Kevin","594992","2570","2362",,"2694","1883",,,,,
"Quackenbush, Kevin","534812","2082",,,"1949",,"1956",,,,
"Bradford, Chasen","607473","2274","2235",,"2622","2059",,,,,
"Busenitz, Alan","641427","2487","2502",,,"2117","2792",,,,
"Melancon, Mark","453343","2521",,"2519",,,"2805","1830",,,
"Boxberger, Brad","502202","2271",,,"2287","1435","2143",,,,
"Rzepczynski, Marc","519240","2185","2107",,"2442","1693",,,,,
"Valdez, César","491624","2316","2214",,"2521","1807",,,,,
"Goeddel, Erik","592340","2219",,,"952","1140","2212",,,,
"Rodríguez, Joely","570257","2043","2020",,"2038",,,,,,
"Brice, Austin","592169","2210","2020",,"2496","1464","2728",,,,
"Chen, Wei-Yin","612672","2039","1941",,"2201","1480","2201",,,,
"Kelley, Shawn","518875","2300","2204",,"2353",,,,,,
"Shipley, Braden","640463","2075","2079",,"2053","1964","2085",,,,
"Cosart, Jarred","543054","2189","2111","2257","2250","1380","2501",,,,
"Schugel, A.J.","519263","2139","2149",,,"1842","2443",,,,
"Petricka, Jake","502593","2106","2110",,"2029","1964",,,,,
"Barbato, Johnny","592127","2005","1982",,"1953","899","2506",,,,
"Barrett, Jake","545332","2198","2296",,"2135",,,"2001",,,
"Axford, John","446099","2241","2156",,"2325",,"2163",,,,
"Alvarado, José","621237","2106","2079","2368",,,"2571",,,,
"Okert, Steven","595345","2378","2389","2485","2524","1967","2478",,,,
"De Jong, Chase","608328","2267","2115",,"2303","1814","2385",,,,
"Syndergaard, Noah","592789","2148","2134",,"2075","1749","2214",,,,
"Iwakuma, Hisashi","547874","2155","1989","2164",,,"2209","1526",,,
"Wilhelmsen, Tom","452666","2317","2138",,"2282","1787","2278",,,,
"Johnson, Brian","598271","2088","2198",,"2230","1628","2415",,,,
"Brady, Michael","572728","2083","2020","2346",,"1640","2507",,,,
"Alcántara, Raúl","593417","2144","2086",,"2106","1459","2076",,,,
"Solís, Sammy","519301","2317","2331",,,"1517","2547",,,,
"Hernández, Ariel","554374","2194","2244",,,"1840","2860",,,,
"Espino, Paolo","502179","2107","1970",,"2250","1401","2861",,,,
"Gohara, Luiz","627894","2126","2103",,"2347","1861",,,,,
"Rodríguez, Francisco","408061","2070","2055",,,"1745","2648",,,,
"Armstrong, Shawn","542888","2355","2489","2487","2710",,,,,,
"Fulmer, Carson","608334","2323","2202","2473",,"1425","2588",,,,
"Richards, Garrett","572070","2591","2587",,"2911",,"3186",,,,
"Fried, Max","608331","2009","1838","2005",,"1422","2687",,,,
"Stanek, Ryne","592773","2409",,,"2272","1293","2415","1076",,,
"Guerra, Deolis","500610","2361","2388",,"2262","1612","2233",,,,
"Banda, Anthony","607455","2229",,,,"1742","2158",,,,
"Wright Jr., Mike","605541","2235","2080","2336","2304","1824","2309",,,,
"Heaney, Andrew","571760",,"2459",,,"1945","2381",,,,
"Stephens, Jackson","623451","2166","2026",,"2643","1823","2919",,,,
"Urías, Julio","628711","2443","2339",,"2529","1991","2656",,,,
"Familia, Jeurys","544727","2201","2157",,"2225",,,"1982",,,
"Neverauskas, Dovydas","596720","2178",,"2476",,"1783","2915",,,,
"Jiménez, Joe","641729","2454",,,"2244","1931",,,,,
"Dayton, Grant","594795","2244","2276",,,,"2342",,,,
"Tonkin, Michael","543859","2390","2361","2186","2256",,,,,,
"Pill, Tyler","543652","2249","2184",,"2497","1465","2163",,,,
"Skoglund, Eric","607215","2212","2084",,"2251","1594","2299",,,,
"Miller, Shelby","571946","2342","2378","2233",,,"2298",,,,
"Wright, Steven","453214","1890",,,,,"1684",,"1248",,
"Velázquez, Hector","584171","2049","2005",,"1788","1379","2100",,,,
"Scribner, Troy","644428","2175","2230",,"2179","1527","1949",,,,
"Brothers, Rex","571521","2245",,,"2131","1221",,,,,
"Overton, Dillon","592614","2287","2263",,"2280","1735","2400",,,,
"Bummer, Aaron","607481","2039","1888",,"2029","1649",,,,,
"Mahle, Tyler","641816","2117",,,"2497","1692","2320",,,,
"Taylor, Ben","664701","2148","2154",,"1815","1737",,,,,
"Gallegos, Giovanny","606149","2356",,,"2148","1778",,,,,
"Gómez, Jeanmar","491646","2008","2017",,"2090","1603",,,,,
"Flaherty, Jack","656427","2217","2107",,"2172","1612","2571",,,,
"Logan, Boone","457429","2330","2237",,"2487",,,,,,
"Garton, Ryan","623439","2139",,"2378",,"1881","1829",,,,
"Paredes, Eduardo","622161","2324","2280",,"2458","1746",,,,,
"Bracho, Silvino","611093","2386","2316",,"2511","2059",,,,,
"Scahill, Rob","543746","2416","2313",,"2634",,"2969",,,,
"Morin, Mike","573046","2127","1914","2051","2131","1315",,,,,
"Dermody, Matt","571616","2299","2240",,"2259","1644","2133",,,,
"Smith, Caleb","592761","2366","2296",,"2262","1686",,,,,
"Mayza, Tim","641835","2111",,,"2233",,,,,,
"Reed, Cody","642003","2241","2315",,"2442","1650",,,,,
"Haley, Justin","595234","1935",,,"2263","1266","2201",,,,
"Rondón, Bruce","541652","2167","2142",,"2215","1983",,,,,
"Socolovich, Miguel","462515","1988","1957",,"2098","1613",,,,,
"Guduan, Reymin","594056","2373",,,"2362",,,,,,
"Turley, Nik","543867","2612",,,,"2038","2736",,,,
"Morris, Bryan","457768","2026","1973","2236",,"1808","2457",,,,
"Guerra, Javy","457915","2014",,"2141","1985","1578","2373",,,,
"Merritt, Ryan","607320","1838",,"1808",,"1416","1963",,,,
"Álvarez, Dario","516714","2411","2587",,"2550",,,,,,
"Yacabonis, Jimmy","642231","2315","2295",,"2375","1667",,,,,
"Therrien, Jesen","592279","2286","2147",,"2412","1601",,,,,
"Wright, Daniel","642229","2319","2255",,"2438","1988","2544",,,,
"Glover, Koda","606983","2238","2198",,"2469","1486","2881",,,,
"Rowley, Chris","635903","2482","2406",,"2460","2001","2361",,,,
"Collmenter, Josh","518567","1939",,"1982",,"1672","2090",,,,
"Nuño, Vidal","573064","2329","2083",,"2468","1626","2691",,,,
"Wilk, Adam","573244","2126","2157",,"2246","1685","2136",,,,
"Tepesch, Nick","519344","2152","2031",,"2148","1705","2356",,,,
"Olson, Tyler","621397","2286","2196",,,"1550","2741",,,,
"Fedde, Erick","607200","1804","1863","2074","2425","1510","2284",,,,
"Baumann, Buddy","571473","2375","2371",,"2449","1429",,,,,
"Beliveau, Jeff","542924","2365","2313","2427",,"1801","2596",,,,
"O'Flaherty, Eric","447714","2067","2025",,"2559",,,,,,
"Santana, Edgar","650828","2251","2200",,"2234",,,,,,
"Váldez, José A.","572308","2494","2500",,"2650","1736",,,,,
"McGrath, Kyle","657681","1995",,,,"2030","1741",,,,
"Broxton, Jonathan","455009","2174","2102",,"2123",,,,,,
"Gant, John","607231","2361","2370",,"2328","1492","2550",,,,
"Ravin, Josh","502051","2465","2404",,"2556","2195",,,,,
"Duke, Zach","435043","1963","1830",,"2323","1466","2242",,,,
"Ríos, Yacksel","605441","1994","2064",,"1882",,,,,,
"Santos, Luis","608601","2379","2355",,,"1888","2491",,,,
"Volstad, Chris","458690","2179","2175",,"2288","1859","2276",,,,
"Jaye, Myles","594867","2123","2133",,"2494","1395","2586",,,,
"Díaz, Dayan","500765","2401","2348",,"2565","1475",,,,,
"Maddox, Austin","545348","2418","2423",,"2360","2120",,,,,
"Wilson, Tyler","592869","2291","2218","2390",,"1553","2460",,,,
"Alburquerque, Al","456379","2342","2335",,"2360","2190",,,,,
"Goldberg, Brad","643329","2264","2117",,"2296","1854",,,,,
"Latos, Mat","502009","1994","1948",,"1931","1696","2010",,,,
"Alvarez III, Henderson","506693","1885","1850",,"2084","1455","2123",,,,
"Germán, Domingo","593334","2590","2460",,,"2447","2584",,,,
"Qualls, Chad","430589","2016","1979",,"2399",,,,,,